"plot_in_year","ACMGLA","AMSMEN","BRATOR","BRODIA","BROMAD","CALCIL","CRACON","CROSET","CRYINT","EROCIC","EROMOS","EUCCHR","HORMUR","LUPBIC","LUPSPA","LUPTRU","NEMMEN","PECLIN","PHADIS","SCHBAR","SISERY","SONOLE"
"E_5_U.2023.raked",0,0.221428571428571,0.107142857142857,0.642857142857143,0,0,0,0.0142857142857143,0.00714285714285714,0,0,0.00714285714285714,0,0,0,0,0,0,0,0,0,0
"E_6_L.2023.raked",0,0.17687074829932,0.197278911564626,0.612244897959184,0,0,0,0.00680272108843537,0,0,0,0,0,0,0,0,0,0,0,0.00680272108843537,0,0
"E_6_U.2023.unraked",0,0.122137404580153,0.175572519083969,0.687022900763359,0,0,0,0,0,0,0,0.0152671755725191,0,0,0,0,0,0,0,0,0,0
"E_7_L.2023.unraked",0,0.104838709677419,0.145161290322581,0.725806451612903,0,0,0,0,0.00806451612903226,0,0,0.00806451612903226,0,0,0,0.00806451612903226,0,0,0,0,0,0
"E_7_U.2023.raked",0,0.176470588235294,0.229411764705882,0.529411764705882,0,0,0,0,0,0,0,0.0294117647058824,0,0.00588235294117647,0,0.0294117647058824,0,0,0,0,0,0
"E_8_L.2023.raked",0,0.238461538461538,0.0692307692307692,0.684615384615385,0,0,0,0,0,0,0,0.00769230769230769,0,0,0,0,0,0,0,0,0,0
"E_8_U.2023.unraked",0,0.0990990990990991,0.0810810810810811,0.810810810810811,0,0,0,0,0,0,0,0.00900900900900901,0,0,0,0,0,0,0,0,0,0
"E_9_L.2023.unraked",0,0.189655172413793,0.0344827586206897,0.775862068965517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_9_U.2023.raked",0.00617283950617284,0.17283950617284,0.228395061728395,0.549382716049383,0.00617283950617284,0.00617283950617284,0,0.00617283950617284,0.00617283950617284,0,0,0,0.00617283950617284,0.00617283950617284,0,0,0,0,0,0.00617283950617284,0,0
"E_10_L.2023.raked",0,0.210884353741497,0.102040816326531,0.598639455782313,0,0,0,0,0,0.0748299319727891,0,0.00680272108843537,0,0.00680272108843537,0,0,0,0,0,0,0,0
"E_10_U.2023.unraked",0,0.0608695652173913,0.104347826086957,0.782608695652174,0,0,0,0.00869565217391304,0,0.0347826086956522,0,0,0,0.00869565217391304,0,0,0,0,0,0,0,0
"G_1_L.2023.unraked",0,0.147286821705426,0.147286821705426,0.697674418604651,0,0,0,0.00775193798449612,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G_1_U.2023.raked",0,0.0374331550802139,0.224598930481283,0.475935828877005,0.0427807486631016,0,0,0.0053475935828877,0.0427807486631016,0.112299465240642,0,0,0,0,0,0,0,0,0,0.0588235294117647,0,0
