"year","raked","unraked","diff_between_treatment_control"
"2021",0.914166666666667,0.922777777777778,0.00861111111111112
"2022",0.417663817663818,0.925,0.507336182336182
"2023",0.218888888888889,0.854444444444444,0.635555555555556
